Sector:,Liquid Propane Gas (LPG),,SRGC Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SRGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/ETHGC,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 10,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
4-Jul-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 4, 2012"
11-Jul-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 11, 2012"
18-Jul-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 18, 2012"
25-Jul-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 25, 2012 "
1-Aug-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 1, 2012"
8-Aug-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 8, 2012"
15-Aug-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 15, 2012"
22-Aug-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 22, 2012"
29-Aug-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 29, 2012"
5-Sep-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 5, 2012"
12-Sep-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 12, 2012"
19-Sep-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 19, 2012"
26-Sep-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 26, 2012 "
3-Oct-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 3, 2012"
10-Oct-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 10, 2012"
17-Oct-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 17, 2012"
24-Oct-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 24, 2012"
31-Oct-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 31, 2012"
7-Nov-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 7, 2012"
14-Nov-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 14, 2012"
21-Nov-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 21, 2012"
28-Nov-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 28, 2012"
5-Dec-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 5, 2012"
12-Dec-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 12, 2012"
19-Dec-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 19, 2012"
26-Dec-12,0,0,0,0,0,0,missing
2-Jan-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 2, 2013"
9-Jan-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 9, 2013"
16-Jan-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 16, 2013"
23-Jan-13,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 23, 2013"
