Sector:,Liquid Propane Gas (LPG),,Medium Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,MGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
,,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 22,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
27-Apr-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 27, 2011 (Anthony Veder 1 6500 2013)"
4-May-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 4, 2011"
11-May-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 11, 2011 ( Dem 1 LPG 56852)"
18-May-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 18, 2011 (1 dem lpg 8493)"
25-May-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 25, 2011"
1-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 1, 2011"
8-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 8, 2011"
15-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 15, 2011"
22-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 22, 2011"
29-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 29, 2011"
6-Jul-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 6, 2011"
13-Jul-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 13, 2011"
20-Jul-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 20, 2011"
27-Jul-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 27, 2011"
3-Aug-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 3, 2011"
10-Aug-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 10, 2011"
17-Aug-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 21, 2011"
24-Aug-11,0,0,0,0,0,0,missing
