Sector:,Liquid Propane Gas (LPG),,SGC-SR Small Gas Carriers,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/SGC_SR,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 6,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
7-Nov-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 7, 2007"
14-Nov-07,0,0,0,0,2,"18,000","Fearnley Weekly Report pdf dated November 14, 2007 ( Lauritzen Kosan 2 LPG 9000 2010) (Sales and purchase 3 Gas - Greek 5000, N/a 3300, N/a 3000)"
21-Nov-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 21, 2007"
28-Nov-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 28, 2007 ( Demolition 2 GC 3728, 3580) "
5-Dec-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 5, 2007"
12-Dec-07,0,0,1,"15,060",0,0,"Fearnley Weekly Report pdf dated December 12, 2007 (Demolition 1 GC 15,060)"
19-Dec-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 19, 2007"
26-Dec-07,0,0,0,0,0,0,missing
2-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 2, 2008 "
9-Jan-08,0,0,0,0,0,0,missing
16-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 16, 2008 ( Gas Horizon Demolition 47989)"
23-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 23, 2008"
30-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 30, 2008"
6-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 6, 2008"
13-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 13, 2008 ( Demolition GC 45501)"
20-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 20, 2008"
27-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 27, 2008"
