Date,TCE
2003-Jun-13,"37,209"
2003-Jun-16,"36,489"
2003-Jun-17,"36,416"
2003-Jun-18,"35,049"
2003-Jun-19,"31,741"
2003-Jun-20,"30,373"
2003-Jun-23,"22,535"
2003-Jun-24,"20,521"
2003-Jun-25,"23,037"
2003-Jun-26,"24,258"
2003-Jun-27,"25,480"
2003-Jun-30,"26,054"
2003-Jul-01,"25,370"
2003-Jul-02,"21,451"
2003-Jul-03,"18,179"
2003-Jul-04,"14,260"
2003-Jul-07,"12,929"
2003-Jul-08,"13,540"
2003-Jul-09,"14,798"
2003-Jul-10,"17,997"
2003-Jul-11,"19,902"
2003-Jul-14,"20,513"
2003-Jul-15,"19,182"
2003-Jul-16,"17,204"
2003-Jul-17,"16,594"
2003-Jul-18,"15,336"
2003-Jul-21,"14,725"
2003-Jul-22,"14,761"
2003-Jul-23,"16,092"
2003-Jul-24,"16,128"
2003-Jul-25,"15,518"
2003-Jul-28,"14,907"
2003-Jul-29,"14,296"
2003-Jul-30,"14,333"
2003-Jul-31,"13,722"
2003-Aug-01,"13,758"
2003-Aug-04,"13,795"
2003-Aug-05,"13,184"
2003-Aug-06,"12,573"
2003-Aug-07,"11,962"
2003-Aug-08,"11,351"
2003-Aug-11,"11,388"
2003-Aug-12,"10,777"
2003-Aug-13,"11,461"
2003-Aug-14,"11,497"
2003-Aug-15,"12,181"
2003-Aug-18,"12,864"
2003-Aug-19,"13,548"
2003-Aug-20,"14,878"
2003-Aug-21,"19,445"
2003-Aug-22,"24,658"
2003-Aug-26,"27,930"
2003-Aug-27,"29,261"
2003-Aug-28,"31,239"
2003-Aug-29,"31,275"
2003-Sep-01,"31,959"
2003-Sep-02,"31,995"
2003-Sep-03,"32,679"
2003-Sep-04,"34,009"
2003-Sep-05,"48,930"
2003-Sep-08,"56,732"
2003-Sep-09,"58,710"
2003-Sep-10,"58,747"
2003-Sep-11,"58,136"
2003-Sep-12,"57,525"
2003-Sep-15,"59,503"
2003-Sep-16,"61,481"
2003-Sep-17,"69,283"
2003-Sep-18,"72,555"
2003-Sep-19,"73,239"
2003-Sep-22,"72,628"
2003-Sep-23,"64,899"
2003-Sep-24,"57,816"
2003-Sep-25,"52,028"
2003-Sep-26,"47,535"
2003-Sep-29,"44,982"
2003-Sep-30,"39,842"
2003-Oct-01,"27,582"
